,,,,,,
1,anr,Termin,Titel,ja_proz,links_rechts,konsvervativ-progressiv
,,,,,,
2,307,1981-06-14,zur Absicherung der Rechte der Konsumenten,65.5,-1,3
3,309,1982-06-06,Strafgesetz (Gewaltverbrechen),63.7,1,1
4,311.1,1982-11-28,Verhinderung missbräuchlicher Preise,57.9,-1,1
5,311.2,1982-11-28,Verhinderung missbräuchlicher Preise (Gegenentwurf),24.8,1,2
6,316,1984-02-26,Schwerverkehrsabgabe,58.7,-1,3
7,318,1984-02-26,Zivildienst auf der Grundlage des Tatbeweises,36.2,-1,-1
8,319,1984-05-20,Banken-Initiative,27,-1,1
9,321,1984-09-23,Zukunft ohne weitere Atomkraftwerke,45,-1,1
10,322,1984-09-23,"sichere, sparsame und umweltgerechte Energieversorgung",45.8,-1,1
11,323,1984-12-02,Mutterschaftsversicherung,15.8,-1,1
12,328,1985-03-10,Neuregelung der Ausbildungsbeiträge,47.6,1,-3
13,329,1985-03-10,Verlängerung der bezahlten Ferien,34.8,-2,1
14,335,1985-09-22,Innovationsrisikogarantie,43.1,-1,1
15,339.1,1986-09-28,Eidgenössische 'Kulturinitiative',18.1,-1,1
16,340,1986-09-28,Lehrwerkstätten-Initiative,18.4,-1,2
17,342,1986-12-07,Mieterschutz (Gegenvorschlag),64.4,-1,3
18,343,1986-12-07,Schwerverkehrsabgabe (Initiative),33.9,-1,2
19,344,1987-04-05,Asylgesetz (Verfahrensstraffung),67.3,1,-3
20,346,1987-04-05,Rüstungsreferendum,40.6,-1,1
21,348,1987-12-06,BAHN 2000,57,-1,1
22,349,1987-12-06,Kranken- und Mutterschaftsversicherung,28.7,-1,1
23,350,1987-12-06,Rothenthurm-Initiative,57.8,-1,1
24,352,1988-06-12,Herabsetzung des AHV-Rentenalters,35.1,-2,1
25,353,1988-12-04,Stadt-Land-Initiative gegen die Bodenspekulation,30.8,-1,2
26,354,1988-12-04,40-Stunden-Woche,34.3,-2,1
27,357,1989-11-26,Schweiz ohne Armee und umfassende Friedenspolitik,35.6,-2,1
28,365,1990-09-23,für den Ausstieg aus der Atomenergie,47.1,-1,1
29,366,1990-09-23,Stopp dem Atomkraftwerkbau (Moratorium),54.5,-1,1
30,367,1990-09-23,Energieartikel in der Bundesverfassung,71.1,-1,1
31,370,1991-03-03,Förderung des öffentlichen Verkehrs,37.1,-1,-1
32,380,1992-05-17,Zivildienst für Dienstverweigerer,82.5,-1,3
33,392,1993-06-06,Waffenplatz-Initiative,44.7,-2,1
34,393,1993-06-06,Schweiz ohne neue Kampfflugzeuge,42.8,-2,1
35,397,1993-09-26,Massnahmen geg. d. Kostensteig. in d. Krankenversicherung,80.5,1,-1
36,398,1993-09-26,Massnahmen in der Arbeitslosenversicherung,70.4,1,1
37,406,1994-02-20,Weiterführung der Schwerverkehrsabgabe,72.2,-1,1
38,407,1994-02-20,Leistungsabhängige Schwerverkehrsabgabe,67.1,-1,1
39,415,1994-12-04,Krankenversicherung (KVG),51.7,-1,1
40,416,1994-12-04,gesunde Krankenversicherung (Initiative),23.4,-2,-1
41,417,1994-12-04,Zwangsmassnahmen im Ausländerrecht,72.9,1,-1
42,421,1995-03-12,Ausgabenbremse,83.4,1,-1
43,422,1995-06-25,10. AHV-Revision,60.7,2,1
44,423,1995-06-25,Initiative f. den Ausbau von AHV und IV,27.6,-2,2
45,433,1996-12-01,Arbeitsgesetz,32.9,2,3
46,435,1997-06-08,VI Verbot der Kriegsmaterialausfuhr,22.5,-1,3
47,437,1997-09-28,Finanzierung der ALV,49.2,2,1
48,439,1998-06-07,Massnahmen zum Haushaltausgleich,70.7,2,3
49,441,1998-06-07,"VI ""S.o.S. - Schweiz ohne Schnüffelpolizei""",24.6,-1,-1
50,442,1998-09-27,Leistungsabhängige Schwerverkehrsabgabe,57.2,-1,1
51,444,1998-09-27,VI 10. AHV-Revision ohne Erhöhung des Rentenalters,41.5,-2,1
52,445,1998-11-29,Finanzierung des öffentlichen Verkehrs,63.4,-1,1
53,447,1998-11-29,DroLeg-Initiative,26,-1,1
54,448,1998-11-29,Arbeitsgesetz (2. Anlauf),63.4,2,1
55,451,1999-02-07,"VI ""Wohneigentum für alle""",41.3,1,1
56,454,1999-06-13,Asylgesetz (AsylG),70.6,1,1
57,455,1999-06-13,Dringliche Massnahmen im Asyl- und Ausländerbereich,70.9,1,2
58,457,1999-06-13,Abschaffung der IV-Viertelsrente,30.3,1,-2
59,458,1999-06-13,Mutterschaftsversicherung,38.9,-1,1
60,461,2000-03-12,Gleichstellungsinitiative,17.9,-1,-2
61,463,2000-03-12,Verkehrshalbierungs-Initiative,21.3,-1,1
62,465.1,2000-09-24,Solar-Initiative,31.8,-1,-2
63,469,2000-11-26,"VI ""Flexibilisierung der AHV - gegen Erhöhung des Rentenalters für Frauen""",39.4,-3,-2
64,470,2000-11-26,"VI ""flexibles Rentenalter ab 62 für Frau und Mann""",46,-3,1
65,471,2000-11-26,Umverteilungsinitiative,37.6,-2,1
66,472,2000-11-26,"VI ""für tiefere Spitalkosten""",17.9,-1,1
67,473,2000-11-26,Bundespersonalgesetz (BPG),66.8,2,1
68,476,2001-03-04,"VI ""Tempo 30""",20.3,-1,2
69,480,2001-12-02,Schuldenbremse,84.8,2,-1
70,481,2001-12-02,"VI ""Energie statt Arbeit besteuern""",22.8,-1,-1
71,482,2001-12-02,VI GSoA II,21.9,-2,2
72,483,2001-12-02,VI Ziviler Friedensdienst,23.2,-2,1
73,484,2001-12-02,VI Kapitalgewinnsteuer,34.1,-2,1
74,486,2002-03-03,VI 36-Stundenwoche,25.3,-2,-1
75,490,2002-09-22,Elektrizitätmarktgesetz,47.4,2,1
76,491,2002-11-24,Asyl-Initiative,50,1,-1
77,492,2002-11-24,Arbeitslosenversicherung,56.1,2,3
78,497,2003-05-18,"VI ""Faire Mieten""",32.7,-2,1
79,499,2003-05-18,Gesundheitsinitiative,27,-3,-2
80,500,2003-05-18,Behinderteninitiative,37.6,-3,1
81,501,2003-05-18,"VI ""Strom ohne Atom"" II",33.7,-1,1
82,502,2003-05-18,"VI ""MoratoriumPlus""",41.6,-1,1
83,503,2003-05-18,Lehrstellen-Initiative,31.6,-2,1
84,504,2004-02-08,Avanti-Gegenvorschlag,37,1,1
85,505,2004-02-08,Änderung des Mietrechts,35.8,2,3
86,507,2004-05-16,11. AHV-Revision,32,2,3
87,509,2004-05-16,Steuerpaket,34.1,2,-2
88,512,2004-09-26,"VI ""Postdienste für alle""",49.8,-2,-1
89,513,2004-09-26,Mutterschaftsversicherung,55.3,-1,1
90,514,2004-11-28,Neuer Finanzausgleich,64.3,1,-2
91,521,2005-11-27,Ladenöffnungszeiten an Bahnhöfen,50.5,2,1
92,524,2006-09-24,Ausländergesetz (AuG),68,1,1
93,525,2006-09-24,Asylgesetz (AsylG),67.8,1,1
94,527,2006-11-26,"Familienzulagengesetz, FamZG",67.9,-2,1
95,528,2007-03-11,VI 'Für eine soziale Einheitskrankenkasse',28.7,-3,-1
96,529,2007-06-17,Invalidenversicherung (IVG),59.1,1,-2
97,530,2008-02-24,VI 'Gegen Kampfjetlärm in Tourismusgebieten',31.9,-1,1
98,531,2008-02-24,Unternehmenssteuerreformgesetz II,50.5,3,1
99,534,2008-06-01,Gesundheitsartikel,30.4,1,3
100,536,2008-11-30,VI 'flexibles AHV-Alter',41.4,-3,2
101,537,2008-11-30,VI 'Abschaffung Verbandsbeschwerde',34.1,2,-1
102,541,2009-05-17,Verfassungsartikel Komplementärmedizin,66.9,-1,1
103,542,2009-05-17,Biometrische Pässe,50,1,1
104,543,2009-09-27,MWST-Prozent für IV,54.4,-1,1
105,546,2009-11-29,IV 'Verbot Kriegsmaterial-Export',31.7,-2,3
106,550,2010-03-07,BVG-Mindestumwandlungssatz,27.1,2,3
107,551,2010-09-26,Arbeitslosenversicherungsgesetz,53.4,2,3
108,552.2,2010-11-28,Gegenvorschlag zur Ausschaffungsinitiative,45.8,1,3
109,553,2010-11-28,Steuergerechtigkeits-Initiative,41.5,-3,-1
110,554,2011-02-13,VI Für den Schutz vor Waffengewalt,43.7,-2,1
111,556,2012-03-11,Wohneigentums-Initiative,44.2,1,1
112,557,2012-03-11,Ferien-Initiative,33.5,-3,-1
113,559,2012-03-11,Buchpreisbindung,43.9,-1,-1
114,560,2012-06-17,Bauspar-Initiative,31.1,1,-1
115,562,2012-06-17,Managed-Care,24,2,3
116,563,2012-09-23,Jugendmusikförderung,72.7,-1,-2
117,564,2012-09-23,IV Sicheres Wohnen im Alter,47.4,1,-2
118,567,2013-03-03,Familienartikel,54.3,-1,-2
119,568,2013-03-03,Abzocker-Initiative,68,-1,1
120,569,2013-03-03,Raumplanungsgesetz,62.9,-1,1
121,571,2013-06-09,Dringliche Änderungen des Asylgesetzes,78.4,1,3
122,572,2013-09-22,Ja zur Aufhebung der Wehrpflicht,26.8,-1,1
123,574,2013-09-22,Arbeitsgesetz,56.7,1,1
124,575,2013-11-24,1:12 - Für gerechte Löhne,34.7,-2,1
125,578,2014-02-09,FABI - Finanzierung und Ausbau der Eisenbahninfrastruktur,62,-1,-3
,,,,,,2
,,,,,,1
,,,,,,1
,,,,,,-2
,,,,,,-1
,,,,,,1
,,,,,,-2
,,,,,,1
,,,,,,-1
,,,,,,1
,,,,,,1
,,,,,,-1
,,,,,,-1
,,,,,,-1
,,,,,,2
,,,,,,1
,,,,,,-2
,,,,,,-3
,,,,,,-3
