56,1900-05-20,Gesetz zur Kranken-; Unfall- und Militärversicherung,NaN,NaN,Nan
57,1900-11-04,Initiative «für die Proporzwahl des Nationalrates»,NaN,NaN,Nan
58,1900-11-04,Initiative für die Volkswahl des Bundesrates,NaN,NaN,Nan
59,1902-11-23,Unterstützung der Primarschule durch den Bund,NaN,NaN,Nan
60,1903-03-15,Zolltarifgesetz,NaN,NaN,Nan
61,1903-10-25,Bundesstrafrecht (Anstiftung Militärpflichtiger zu Verbrechen),NaN,NaN,Nan
62,1903-10-25,Initiative «für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung»,NaN,NaN,Nan
63,1903-10-25,Artikel über die Regulierung des Alkoholhandels,NaN,NaN,Nan
64,1905-03-19,Ausdehnung des Erfinderschutzes,NaN,NaN,Nan
65,1906-06-10,Lebensmittelgesetz,NaN,NaN,Nan
66,1907-11-03,Militärorganisation der schweizerischen Eidgenossenschaft,NaN,NaN,Nan
67,1908-07-05,Verfassungsartikel zur Gesetzgebung über das Gewerbewesen,NaN,NaN,Nan
68,1908-07-05,Initiative «für ein Absinthverbot»,NaN,NaN,Nan
69,1908-10-25,Verfassungsartikel über die Wasserkraft und Elektrizität,NaN,NaN,Nan
70,1910-10-23,Initiative «für die Proporzwahl des Nationalrates»,NaN,NaN,Nan
71,1912-02-04,Kranken- und Unfallversicherungsgesetz,NaN,NaN,Nan
72,1913-05-04,Bekämpfung menschlicher und tierischer Krankheiten,NaN,NaN,Nan
73,1914-10-25,Schaffung eines Verwaltungsgerichts,NaN,NaN,Nan
74,1915-06-06,Verfassungsgrundlage für eine einmalige Kriegssteuer,NaN,NaN,Nan
75,1917-05-13,Stempelabgaben,NaN,NaN,Nan
76,1918-06-02,Initiative für eine direkte Bundessteuer,NaN,NaN,Nan
77,1918-10-13,Initiative «für die Proporzwahl des Nationalrates»,NaN,NaN,Nan
78,1919-05-04,Artikel über die Schifffahrt,NaN,NaN,Nan
79,1919-05-04,Verfassungsgrundlage für eine ausserordentliche Kriegssteuer,NaN,NaN,Nan
80,1919-08-10,Übergangsbestimmungen für vorgezogene Wahlen in den National- und Bundesrat,NaN,NaN,Nan
81,1920-03-21,Gesetz zur Ordnung des Arbeitsverhältnisses,NaN,NaN,Nan
82.1,1920-03-21,Initiative für ein Verbot der Spielbanken,NaN,NaN,Nan
82.2,1920-03-21,Gegenentwurf zur Initiative für ein Verbot der Spielbanken,NaN,NaN,Nan
83,1920-05-16,Beitritt zum Völkerbund,NaN,NaN,Nan
84,1920-10-31,Gesetz zur Arbeitszeit bei den Eisenbahnen,NaN,NaN,Nan
85,1921-01-30,Initiative für ein Staatsvertragsreferendum,NaN,NaN,Nan
86,1921-01-30,Initiative «für die Aufhebung der Militärjustiz»,NaN,NaN,Nan
87,1921-05-22,Artikel über den Automobil- und Fahrradverkehr,NaN,NaN,Nan
88,1921-05-22,Artikel über die Luftschiffahrt,NaN,NaN,Nan
89,1922-06-11,Initiative «betreffend die Erlangung des Schweizerbürgerrechts»,NaN,NaN,Nan
90,1922-06-11,Initiative «betreffend die Ausweisung von Ausländern»,NaN,NaN,Nan
91,1922-06-11,Initiative «betreffend die Wählbarkeit der Bundesbeamten in den Nationalrat»,NaN,NaN,Nan
92,1922-09-24,Strafrechtsrevision (innere Sicherheit und bedingter Strafvollzug),NaN,NaN,Nan
93,1922-12-03,Initiative für eine einmalige Vermögensabgabe,NaN,NaN,Nan
94,1923-02-18,Schutzhaft-Initiative,NaN,NaN,Nan
95,1923-02-18,Abkommen mit Frankreich betreffend Hochsavoyen,NaN,NaN,Nan
96,1923-04-15,Zollinitiative,NaN,NaN,Nan
97,1923-06-03,Bundesbeschluss zum Alkoholwesen,NaN,NaN,Nan
98,1924-02-17,Fabrikgesetz,NaN,NaN,Nan
99,1925-05-24,Initiative für eine AHV/IV,NaN,NaN,Nan
100,1925-10-25,Beschluss betreffend Aufenthalt und Niederlassung der Ausländer,NaN,NaN,Nan
101,1925-12-06,Bundesbeschluss betreffend eine AHV/IV,NaN,NaN,Nan
102,1926-12-05,Artikel zur Getreideversorgung,NaN,NaN,Nan
103,1927-05-15,Entschädigung an Kantone für Alpenstrassen,NaN,NaN,Nan
104,1927-05-15,Gesetz über den Automobil- und Fahrradverkehr,NaN,NaN,Nan
105,1928-05-20,Massnahmen gegen die Überfremdung,NaN,NaN,Nan
106,1928-12-02,Initiative für die Erhaltung der Kursäle,NaN,NaN,Nan
107.1,1929-03-03,Initiative zur Getreideversorgung,NaN,NaN,Nan
107.2,1929-03-03,Gegenentwurf zur Initiative zur Getreideversorgung,NaN,NaN,Nan
108,1929-03-03,Zolltarifgesetz,NaN,NaN,Nan
109,1929-05-12,Initiative «betreffend die Gesetzgebung über den Strassenverkehr»,NaN,NaN,Nan
110,1929-05-12,Initiative «für ein Branntweinverbot»,NaN,NaN,Nan
111,1930-04-06,Neuregelung des Alkoholwesens,NaN,NaN,Nan
112,1931-02-08,Ordensverbot,NaN,NaN,Nan
113,1931-03-15,Beschluss über die Mitgliederzahl des Nationalrates,NaN,NaN,Nan
114,1931-03-15,Amtsdauer des Nationalrats; des Bundesrats und des Bundeskanzlers,NaN,NaN,Nan
115,1931-12-06,Gesetz über die AHV,NaN,NaN,Nan
116,1931-12-06,Gesetz über die Besteuerung des Tabaks,NaN,NaN,Nan
117,1933-05-28,Gesetz zur Herabsetzung der Löhne des Bundespersonals,NaN,NaN,Nan
118,1934-03-11,Gesetz über den Schutz der öffentlichen Ordnung,NaN,NaN,Nan
119,1935-02-24,Neuordnung der militärischen Ausbildung,NaN,NaN,Nan
120,1935-05-05,Verkehrsteilungsgesetz,NaN,NaN,Nan
121,1935-06-02,Initiative «zur Bekämpfung der Wirtschaftskrise»,NaN,NaN,Nan
122,1935-09-08,Initiative für eine Totalrevision der Bundesverfassung,NaN,NaN,Nan
123,1937-11-28,Initiative «für ein Verbot der Freimaurerei»,NaN,NaN,Nan
124,1938-02-20,Anerkennung des Rätoromanischen als Nationalsprache,NaN,NaN,Nan
125,1938-02-20,Initiative zur Beschränkung der Dringlichkeitsklausel,NaN,NaN,Nan
126.1,1938-02-20,Initiative «Private Rüstungsindustrie»,NaN,NaN,Nan
126.2,1938-02-20,Gegenentwurf zur Initiative «Private Rüstungsindustrie»,NaN,NaN,Nan
127,1938-07-03,Schweizerisches Strafgesetzbuch,NaN,NaN,Nan
128,1938-11-27,Übergangsordnung des Finanzhaushalts,NaN,NaN,Nan
129,1939-01-22,Initiative für eine Erweiterung der Verfassungsgerichtsbarkeit,NaN,NaN,Nan
130,1939-01-22,Beschluss betreffend eine Einschränkung der Dringlichkeitsklausel,NaN,NaN,Nan
131,1939-06-04,Bundesbeschluss zum Ausbau der Landesverteidigung und zur Bekämpfung der Arbeitslosigkeit,NaN,NaN,Nan
132,1939-12-03,Dienstverhältnis und Versicherung des Bundespersonals,NaN,NaN,Nan
133,1940-12-01,Einführung des obligatorischen militärischen Vorunterrichts,NaN,NaN,Nan
134,1941-03-09,Initiative «zur Neuordnung des Alkoholwesens»,NaN,NaN,Nan
