anr;datum;titel_kurz;ja_proz;li_re;kons_prog
56;20.05.1900;"Gesetz zur Kranken-; Unfall- und Militärversicherung";#ZAHL!;#ZAHL!;Nan
57;04.11.1900;Initiative «für die Proporzwahl des Nationalrates»;#ZAHL!;#ZAHL!;Nan
58;04.11.1900;Initiative für die Volkswahl des Bundesrates;#ZAHL!;#ZAHL!;Nan
59;23.11.1902;Unterstützung der Primarschule durch den Bund;#ZAHL!;#ZAHL!;Nan
60;15.03.1903;Zolltarifgesetz;#ZAHL!;#ZAHL!;Nan
61;25.10.1903;Bundesstrafrecht (Anstiftung Militärpflichtiger zu Verbrechen);#ZAHL!;#ZAHL!;Nan
62;25.10.1903;Initiative «für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung»;#ZAHL!;#ZAHL!;Nan
63;25.10.1903;Artikel über die Regulierung des Alkoholhandels;#ZAHL!;#ZAHL!;Nan
64;19.03.1905;Ausdehnung des Erfinderschutzes;#ZAHL!;#ZAHL!;Nan
65;10.06.1906;Lebensmittelgesetz;#ZAHL!;#ZAHL!;Nan
66;03.11.1907;Militärorganisation der schweizerischen Eidgenossenschaft;#ZAHL!;#ZAHL!;Nan
67;05.07.1908;Verfassungsartikel zur Gesetzgebung über das Gewerbewesen;#ZAHL!;#ZAHL!;Nan
68;05.07.1908;Initiative «für ein Absinthverbot»;#ZAHL!;#ZAHL!;Nan
69;25.10.1908;Verfassungsartikel über die Wasserkraft und Elektrizität;#ZAHL!;#ZAHL!;Nan
70;23.10.1910;Initiative «für die Proporzwahl des Nationalrates»;#ZAHL!;#ZAHL!;Nan
71;04.02.1912;Kranken- und Unfallversicherungsgesetz;#ZAHL!;#ZAHL!;Nan
72;04.05.1913;Bekämpfung menschlicher und tierischer Krankheiten;#ZAHL!;#ZAHL!;Nan
73;25.10.1914;Schaffung eines Verwaltungsgerichts;#ZAHL!;#ZAHL!;Nan
74;06.06.1915;Verfassungsgrundlage für eine einmalige Kriegssteuer;#ZAHL!;#ZAHL!;Nan
75;13.05.1917;Stempelabgaben;#ZAHL!;#ZAHL!;Nan
76;02.06.1918;Initiative für eine direkte Bundessteuer;#ZAHL!;#ZAHL!;Nan
77;13.10.1918;Initiative «für die Proporzwahl des Nationalrates»;#ZAHL!;#ZAHL!;Nan
78;04.05.1919;Artikel über die Schifffahrt;#ZAHL!;#ZAHL!;Nan
79;04.05.1919;Verfassungsgrundlage für eine ausserordentliche Kriegssteuer;#ZAHL!;#ZAHL!;Nan
80;10.08.1919;Übergangsbestimmungen für vorgezogene Wahlen in den National- und Bundesrat;#ZAHL!;#ZAHL!;Nan
81;21.03.1920;Gesetz zur Ordnung des Arbeitsverhältnisses;#ZAHL!;#ZAHL!;Nan
82.1;21.03.1920;Initiative für ein Verbot der Spielbanken;#ZAHL!;#ZAHL!;Nan
82.2;21.03.1920;Gegenentwurf zur Initiative für ein Verbot der Spielbanken;#ZAHL!;#ZAHL!;Nan
83;16.05.1920;Beitritt zum Völkerbund;#ZAHL!;#ZAHL!;Nan
84;31.10.1920;Gesetz zur Arbeitszeit bei den Eisenbahnen;#ZAHL!;#ZAHL!;Nan
85;30.01.1921;Initiative für ein Staatsvertragsreferendum;#ZAHL!;#ZAHL!;Nan
86;30.01.1921;Initiative «für die Aufhebung der Militärjustiz»;#ZAHL!;#ZAHL!;Nan
87;22.05.1921;Artikel über den Automobil- und Fahrradverkehr;#ZAHL!;#ZAHL!;Nan
88;22.05.1921;Artikel über die Luftschiffahrt;#ZAHL!;#ZAHL!;Nan
89;11.06.1922;Initiative «betreffend die Erlangung des Schweizerbürgerrechts»;#ZAHL!;#ZAHL!;Nan
90;11.06.1922;Initiative «betreffend die Ausweisung von Ausländern»;#ZAHL!;#ZAHL!;Nan
91;11.06.1922;Initiative «betreffend die Wählbarkeit der Bundesbeamten in den Nationalrat»;#ZAHL!;#ZAHL!;Nan
92;24.09.1922;Strafrechtsrevision (innere Sicherheit und bedingter Strafvollzug);#ZAHL!;#ZAHL!;Nan
93;03.12.1922;Initiative für eine einmalige Vermögensabgabe;#ZAHL!;#ZAHL!;Nan
94;18.02.1923;Schutzhaft-Initiative;#ZAHL!;#ZAHL!;Nan
95;18.02.1923;Abkommen mit Frankreich betreffend Hochsavoyen;#ZAHL!;#ZAHL!;Nan
96;15.04.1923;Zollinitiative;#ZAHL!;#ZAHL!;Nan
97;03.06.1923;Bundesbeschluss zum Alkoholwesen;#ZAHL!;#ZAHL!;Nan
98;17.02.1924;Fabrikgesetz;#ZAHL!;#ZAHL!;Nan
99;24.05.1925;Initiative für eine AHV/IV;#ZAHL!;#ZAHL!;Nan
100;25.10.1925;Beschluss betreffend Aufenthalt und Niederlassung der Ausländer;#ZAHL!;#ZAHL!;Nan
101;06.12.1925;Bundesbeschluss betreffend eine AHV/IV;#ZAHL!;#ZAHL!;Nan
102;05.12.1926;Artikel zur Getreideversorgung;#ZAHL!;#ZAHL!;Nan
103;15.05.1927;Entschädigung an Kantone für Alpenstrassen;#ZAHL!;#ZAHL!;Nan
104;15.05.1927;Gesetz über den Automobil- und Fahrradverkehr;#ZAHL!;#ZAHL!;Nan
105;20.05.1928;Massnahmen gegen die Überfremdung;#ZAHL!;#ZAHL!;Nan
106;02.12.1928;Initiative für die Erhaltung der Kursäle;#ZAHL!;#ZAHL!;Nan
107.1;03.03.1929;Initiative zur Getreideversorgung;#ZAHL!;#ZAHL!;Nan
107.2;03.03.1929;Gegenentwurf zur Initiative zur Getreideversorgung;#ZAHL!;#ZAHL!;Nan
108;03.03.1929;Zolltarifgesetz;#ZAHL!;#ZAHL!;Nan
109;12.05.1929;Initiative «betreffend die Gesetzgebung über den Strassenverkehr»;#ZAHL!;#ZAHL!;Nan
110;12.05.1929;Initiative «für ein Branntweinverbot»;#ZAHL!;#ZAHL!;Nan
111;06.04.1930;Neuregelung des Alkoholwesens;#ZAHL!;#ZAHL!;Nan
112;08.02.1931;Ordensverbot;#ZAHL!;#ZAHL!;Nan
113;15.03.1931;Beschluss über die Mitgliederzahl des Nationalrates;#ZAHL!;#ZAHL!;Nan
114;15.03.1931;"Amtsdauer des Nationalrats; des Bundesrats und des Bundeskanzlers";#ZAHL!;#ZAHL!;Nan
115;06.12.1931;Gesetz über die AHV;#ZAHL!;#ZAHL!;Nan
116;06.12.1931;Gesetz über die Besteuerung des Tabaks;#ZAHL!;#ZAHL!;Nan
117;28.05.1933;Gesetz zur Herabsetzung der Löhne des Bundespersonals;#ZAHL!;#ZAHL!;Nan
118;11.03.1934;Gesetz über den Schutz der öffentlichen Ordnung;#ZAHL!;#ZAHL!;Nan
119;24.02.1935;Neuordnung der militärischen Ausbildung;#ZAHL!;#ZAHL!;Nan
120;05.05.1935;Verkehrsteilungsgesetz;#ZAHL!;#ZAHL!;Nan
121;02.06.1935;Initiative «zur Bekämpfung der Wirtschaftskrise»;#ZAHL!;#ZAHL!;Nan
122;08.09.1935;Initiative für eine Totalrevision der Bundesverfassung;#ZAHL!;#ZAHL!;Nan
123;28.11.1937;Initiative «für ein Verbot der Freimaurerei»;#ZAHL!;#ZAHL!;Nan
124;20.02.1938;Anerkennung des Rätoromanischen als Nationalsprache;#ZAHL!;#ZAHL!;Nan
125;20.02.1938;Initiative zur Beschränkung der Dringlichkeitsklausel;#ZAHL!;#ZAHL!;Nan
126.1;20.02.1938;Initiative «Private Rüstungsindustrie»;#ZAHL!;#ZAHL!;Nan
126.2;20.02.1938;Gegenentwurf zur Initiative «Private Rüstungsindustrie»;#ZAHL!;#ZAHL!;Nan
127;03.07.1938;Schweizerisches Strafgesetzbuch;#ZAHL!;#ZAHL!;Nan
128;27.11.1938;Übergangsordnung des Finanzhaushalts;#ZAHL!;#ZAHL!;Nan
129;22.01.1939;Initiative für eine Erweiterung der Verfassungsgerichtsbarkeit;#ZAHL!;#ZAHL!;Nan
130;22.01.1939;Beschluss betreffend eine Einschränkung der Dringlichkeitsklausel;#ZAHL!;#ZAHL!;Nan
131;04.06.1939;Bundesbeschluss zum Ausbau der Landesverteidigung und zur Bekämpfung der Arbeitslosigkeit;#ZAHL!;#ZAHL!;Nan
132;03.12.1939;Dienstverhältnis und Versicherung des Bundespersonals;#ZAHL!;#ZAHL!;Nan
133;01.12.1940;Einführung des obligatorischen militärischen Vorunterrichts;#ZAHL!;#ZAHL!;Nan
134;09.03.1941;Initiative «zur Neuordnung des Alkoholwesens»;#ZAHL!;#ZAHL!;Nan
135;25.01.1942;Initiative für die Wahl des Bundesrates durch das Volk;#ZAHL!;#ZAHL!;Nan
136;03.05.1942;Initiative «für die Reorganisation des Nationalrates»;#ZAHL!;#ZAHL!;Nan
137;29.10.1944;Gesetz über den unlauteren Wettbewerb;#ZAHL!;#ZAHL!;Nan
138;21.01.1945;Gesetz über die Bundesbahnen;#ZAHL!;#ZAHL!;Nan
139;25.11.1945;Gegenentwurf zur Volksinitiative «Für die Familie»;#ZAHL!;#ZAHL!;Nan
140;10.02.1946;Bundesbeschluss für eine Gütertransportordnung;#ZAHL!;#ZAHL!;Nan
141;08.12.1946;Initiative «Recht auf Arbeit»;#ZAHL!;#ZAHL!;Nan
