"Votations populaires (résultats au niveau des cantons depuis 1866)"

"Canton";"Date et objet";"Bulletins valables";"Oui en %"
"Suisse";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";3583678.00;62.02
"Suisse";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";3430137.00;31.92
"Suisse";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";3544096.00;60.98
"Suisse";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";2852949.00;64.10
"Suisse";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";2810307.00;35.12
"Suisse";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";3202178.00;56.58
"Suisse";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";3239242.00;48.41
"Suisse";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";3216472.00;60.20
"Suisse";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";3245187.00;39.44
"Suisse";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";3246449.00;39.31
"Suisse";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";2727150.00;51.65
"Suisse";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";2762770.00;35.64
"Suisse";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";2788094.00;51.19
"Zürich";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";638708.00;66.19
"Zürich";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";607243.00;32.66
"Zürich";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";629453.00;61.76
"Zürich";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";516462.00;69.11
"Zürich";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";508477.00;35.96
"Zürich";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";556216.00;54.45
"Zürich";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";562982.00;55.41
"Zürich";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";559109.00;64.37
"Zürich";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";561697.00;47.94
"Zürich";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";562796.00;49.30
"Zürich";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";477800.00;58.18
"Zürich";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";485924.00;35.38
"Zürich";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";490834.00;45.14
"Bern / Berne";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";491248.00;62.52
"Bern / Berne";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";474917.00;31.75
"Bern / Berne";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";489320.00;63.93
"Bern / Berne";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";379076.00;65.15
"Bern / Berne";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";375037.00;40.67
"Bern / Berne";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";452534.00;54.79
"Bern / Berne";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";457775.00;48.49
"Bern / Berne";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";454112.00;60.13
"Bern / Berne";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";458593.00;40.36
"Bern / Berne";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";458986.00;40.41
"Bern / Berne";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";357027.00;51.74
"Bern / Berne";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";361323.00;33.24
"Bern / Berne";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";363161.00;49.58
"Luzern";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";196811.00;62.35
"Luzern";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";188320.00;31.88
"Luzern";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";194748.00;59.32
"Luzern";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";151204.00;66.17
"Luzern";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";148941.00;32.01
"Luzern";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";178840.00;57.49
"Luzern";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";181021.00;47.98
"Luzern";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";179930.00;57.40
"Luzern";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";181510.00;33.87
"Luzern";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";181535.00;34.21
"Luzern";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";140153.00;55.91
"Luzern";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";141936.00;39.61
"Luzern";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";143146.00;50.45
"Uri";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";18676.00;56.30
"Uri";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";17359.00;27.43
"Uri";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";18258.00;57.74
"Uri";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";12931.00;58.25
"Uri";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";12545.00;31.51
"Uri";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";16563.00;53.69
"Uri";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";16829.00;35.01
"Uri";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";16811.00;45.14
"Uri";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";16894.00;27.67
